model,version,table,field,type,length,precision,scale,default
omop,v4,observation,associated_provider_id,integer,,,,
omop,v4,observation,observation_concept_id,integer,,,,
omop,v4,observation,observation_date,date,,,,
omop,v4,observation,observation_id,integer,,,,
omop,v4,observation,observation_source_value,string,50,,,
omop,v4,observation,observation_time,time,,,,
omop,v4,observation,observation_type_concept_id,integer,,,,
omop,v4,observation,person_id,integer,,,,
omop,v4,observation,range_high,number,,14,3,
omop,v4,observation,range_low,number,,14,3,
omop,v4,observation,relevant_condition_concept_id,integer,,,,
omop,v4,observation,unit_concept_id,integer,,,,
omop,v4,observation,unit_source_value,string,50,,,
omop,v4,observation,value_as_concept_id,integer,,,,
omop,v4,observation,value_as_number,number,,14,3,
omop,v4,observation,value_as_string,string,60,,,
omop,v4,observation,visit_occurrence_id,integer,,,,
