model,version,table,field,type,length,precision,scale,default
i2b2,v1.7,visit_dimension,active_status_cd,string,50,,,
i2b2,v1.7,visit_dimension,download_date,datetime,,,,
i2b2,v1.7,visit_dimension,encounter_num,number,,38,5,
i2b2,v1.7,visit_dimension,end_date,datetime,,,,
i2b2,v1.7,visit_dimension,import_date,datetime,,,,
i2b2,v1.7,visit_dimension,inout_cd,string,50,,,
i2b2,v1.7,visit_dimension,length_of_stay,number,,38,5,
i2b2,v1.7,visit_dimension,location_cd,string,50,,,
i2b2,v1.7,visit_dimension,location_path,string,900,,,
i2b2,v1.7,visit_dimension,patient_num,number,,38,5,
i2b2,v1.7,visit_dimension,sourcesystem_cd,string,50,,,
i2b2,v1.7,visit_dimension,start_date,datetime,,,,
i2b2,v1.7,visit_dimension,update_date,datetime,,,,
i2b2,v1.7,visit_dimension,upload_id,number,,38,5,
i2b2,v1.7,visit_dimension,visit_blob,string,256,,,
