TABLE_NAME,FIELD_NAME,REQUIRED,REF_TABLE,REF_FIELD,DATA_TYPE,DATA_FORMAT,REPLICATED,UNIT_OF_MEASURE,VALUE_SET,VALUE_DESCRIPTION,DEFINITION
DEMOGRAPHIC,PATID,YES,,,TEXT(x),,NO,,,,"Arbitrary person-level identifier used to link across tables. 

PATID is a pseudoidentifier with a consistent crosswalk to the true identifier retained by the source Data Partner. For analytical data sets requiring patient-level data, only the pseudoidentifier is used to link across all information belonging to a patient.

The PATID must be unique within the data source being queried. Creating a unique identifier within a CDRN would be beneficial and acceptable. The PATID is not the basis for linkages across partners."
DEMOGRAPHIC,BIRTH_DATE,NO,,,TEXT(10),YYYY-MM-DD,NO,DATE,,,Date of birth.
DEMOGRAPHIC,BIRTH_TIME,NO,,,TEXT(5),HH:MI (24-hour clock and zero padding),NO,TIME,,,Time of birth.
DEMOGRAPHIC,SEX,NO,,,TEXT(2),,NO,,A;F;M;NI;UN;OT,"A = Ambiguous 
F = Female
M = Male
NI = No information
UN = Unknown
OT = Other",Administrative sex.
DEMOGRAPHIC,HISPANIC,NO,,,TEXT(2),,NO,,Y;N;NI;UN;OT,"Y = Yes
N = No
NI = No information
UN = Unknown
OT = Other","A person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin, regardless of race."
DEMOGRAPHIC,RACE,NO,,,TEXT(2),,NO,,01;02;03;04;05;06;07;NI;UN;OT,"01 = American Indian or Alaska Native
02 = Asian
03 = Black or African American
04 = Native Hawaiian or Other Pacific Islander
05 = White
06 = Multiple race
07 = Refuse to answer
NI = No information
UN = Unknown
OT = Other","Please use only one race value per patient.

Details of categorical definitions:
American Indian or Alaska Native: A person having origins in any of the original peoples of North and South America (including Central America), and who maintains tribal affiliation or community attachment.

Asian: A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam.

Black or African American: A person having origins in any of the black racial groups of Africa.

Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands.

White: A person having origins in any of the original peoples of Europe, the Middle East, or North Africa."
DEMOGRAPHIC,BIOBANK_FLAG,NO,,,TEXT(1),,NO,,Y;N,"Y = Yes
N = No","Flag to indicate that one or more biobanked specimens are stored and available for research use. Examples of biospecimens could include plasma, urine, or tissue. If biospecimens are available, locally maintained “mapping tables” would be necessary to map between the DEMOGRAPHIC record and the originating biobanking system(s).

If no known biobanked specimens are available, this field should be marked “No”."
DEMOGRAPHIC,RAW_SEX,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
DEMOGRAPHIC,RAW_ HISPANIC,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
DEMOGRAPHIC,RAW_RACE,NO,,,TEXT(x),,NO,,,,"Optional field for originating value of field, prior to mapping into the PCORnet CDM value set."
ENROLLMENT,PATID,YES,PATIENT,PATID,TEXT(x),,NO,,,,Arbitrary person-level identifier used to link across tables.
